token,pos,lemma,aspect,tense,verbForm,voice,mood,number,person,case,gender
traxit,v,traho,perf,past,finite,active,ind,sg,3,,
sine,adp,sine,,,,,,,,,
dubio,adi,dubius,,,,,,sg,,abl,n
repugnaverat,v,repugno,imperf,past,finite,active,ind,sg,3,,
puer,n,puer,,,,,,sg,,nom,m
puella,n,puella,,,,,,sg,,nom,f
quidem,adv,quidem,,,,,,,,,
tristis,adi,tristis,,,,,,sg,,nom,f
expaverat,v,expaverat,perf,pluperfect,finite,active,ind,sg,3,,
nuptiarum,n,nuptia,,,,,,pl,,gen,f
nomen,n,nomen,,,,,,sg,,acc,n
itaque,adv,itaque,,,,,,,,,
inclusi,v,includo,perf,past,participle,passive,,pl,,nom,m
iacerent,v,iacero,imperf,past,finite,active,coni,pl,3,,
consedimus,v,consedo,imperf,praes,finite,active,ind,pl,1,,
limen,n,limen,,,,,,sg,,acc,m
thalami,n,thalamum,,,,,,sg,,gen,m
in,adp,in,,,,,,,,,
primis,adi,primus,,,,,,pl,,abl,n
quartilla,n,quartilla,,,,,,sg,,abl,f
rimam,n,rima,,,,,,sg,,acc,f
improbe,adv,improbe,,,,,,,,,
diductam,v,diduco,perf,past,participle,passive,,sg,,acc,f
adplicuerat,v,adplicuo,perf,pluperfect,finite,active,ind,sg,3,,
oculum,n,oculus,,,,,,sg,,acc,m
curiosum,adi,curiosus,,,,,,sg,,acc,m
lusumque,n,lususque,,,,,,sg,,acc,m
puerilem,adi,puerilis,,,,,,sg,,acc,f
libidinosa,adi,libidinosus,,,,,,sg,,nom,f
speculabatur,v,speculor,imperf,past,finite,passive,ind,sg,3,,
diligentia,n,diligentia,,,,,,sg,,nom,f
me,pron,ego,,,,,,sg,,acc,m
quoque,adv,quoque,,,,,,,,,
ad,adp,ad,,,,,,,,,
spectaculum,n,spectaculum,,,,,,sg,,acc,n
lenta,adi,lentus,,,,,,sg,,acc,n
manu,n,manus,,,,,,sg,,abl,f
traxit,v,traho,perf,past,finite,active,ind,sg,3,,
quia,adv,quia,,,,,,,,,
considerantium,v,considero,imperf,praes,participle,active,,pl,,gen,m
haeserant,v,haerero,perf,past,finite,active,ind,pl,3,,
vultus,n,vultus,,,,,,sg,,acc,m
quicquid,pron,quisquis,,,,,,sg,,acc,n
a,adp,ab,,,,,,,,,
spectaculo,n,spectaculum,,,,,,sg,,abl,n
vacabat,v,vacabat,imperf,past,finite,active,ind,sg,3,,
commovebat,v,commovebat,imperf,past,finite,active,ind,sg,3,,
obiter,adv,obiter,,,,,,,,,
labra,n,labra,,,,,,pl,,acc,n
me,pron,ego,,,,,,sg,,acc,m
tamquam,adv,tamquam,,,,,,,,,
furtivis,n,furtivis,,,,,,pl,,abl,m
subinde,adv,subinde,,,,,,,,,
osculis,n,osculus,,,,,,pl,,abl,m
verberabat,v,verberabat,imperf,past,finite,active,ind,sg,3,,
abiecti,v,abiicio,perf,past,participle,passive,,pl,,nom,m
in,adp,in,,,,,,,,,
lectis,n,lectus,,,,,,pl,,abl,m
sine,adp,sine,,,,,,,,,
metu,n,metus,,,,,,sg,,abl,m
reliquam,adi,reliquus,,,,,,sg,,acc,f
exegimus,v,exsego,imperf,praes,finite,active,ind,pl,1,,
noctem,n,nox,,,,,,sg,,acc,f
venerat,v,venerat,imperf,past,finite,active,ind,sg,3,,
tertius,adi,tertius,,,,,,sg,,nom,m
dies,n,dies,,,,,,pl,,acc,m
id,pron,is,,,,,,sg,,acc,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
expectatio,n,exspectatio,,,,,,sg,,nom,f
liberae,adi,liber,,,,,,sg,,gen,f
cenae,n,coena,,,,,,sg,,gen,f
tot,pron,tot,,,,,,,,,
vulneribus,n,vulnus,,,,,,pl,,dat,m
confossis,v,confodio,perf,past,participle,passive,,pl,,dat,m
fuga,n,fuga,,,,,,sg,,dat,f
magis,adv,magis,,,,,,,,,
placebat,v,placeo,imperf,past,finite,active,ind,sg,3,,
quam,adv,quam,,,,,,,,,
quies,n,quies,,,,,,sg,,nom,f
itaque,adv,itaque,,,,,,,,,
maesti,n,maestum,,,,,,pl,,nom,m
deliberaremus,v,delibero,imperf,past,finite,active,coni,pl,1,,
quonam,adv,quonam,,,,,,,,,
genere,n,genus,,,,,,sg,,abl,n
praesentem,v,praesum,imperf,praes,participle,active,,sg,,acc,m
evitaremus,v,evitaremus,imperf,past,finite,active,coni,pl,1,,
procellam,n,procella,,,,,,sg,,acc,f
servus,n,servus,,,,,,sg,,nom,m
agamemnonis,n,agamemno,,,,,,sg,,gen,m
interpellavit,v,interpello,perf,past,finite,active,ind,sg,3,,
trepidantes,v,trepido,imperf,praes,participle,active,,pl,,acc,m
quid,pron,quis,,,,,,sg,,acc,n
vos,pron,vos,,,,,,pl,,acc,m
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
nescitis,v,nescio,imperf,praes,finite,active,ind,pl,2,,
hodie,adv,hodie,,,,,,,,,
quem,pron,qui,,,,,,sg,,acc,m
fiat,v,facio,imperf,praes,finite,passive,coni,sg,3,,
trimalchio,n,trimalchio,,,,,,sg,,nom,n
lautissimus,adi,lautus,,,,,,sg,,nom,m
homo,n,homo,,,,,,sg,,nom,m
horologium,n,horologium,,,,,,sg,,acc,n
in,adp,in,,,,,,,,,
triclinio,n,triclinium,,,,,,sg,,abl,n
bucinatorem,n,bucinator,,,,,,sg,,acc,m
habet,v,habeo,imperf,praes,finite,active,ind,sg,3,,
subornatum,v,suborno,perf,past,participle,passive,,sg,,acc,m
subinde,adv,subinde,,,,,,,,,
sciat,v,scio,imperf,praes,finite,active,coni,sg,3,,
quantum,adv,quantum,,,,,,,,,
de,adp,de,,,,,,,,,
vita,n,vita,,,,,,sg,,abl,f
perdiderit,v,perdo,perf,past,finite,active,coni,sg,3,,
amicimur,v,amicio,imperf,praes,finite,passive,ind,pl,1,,
diligenter,adv,diligenter,,,,,,,,,
obliti,v,oblitto,perf,past,participle,passive,,pl,,nom,m
omnium,adi,omnis,,,,,,pl,,gen,n
malorum,n,malum,,,,,,pl,,gen,n
gitona,n,gitona,,,,,,sg,,acc,f
libentissime,adv,libenter,,,,,,,,,
servile,adi,servile,,,,,,sg,,nom,n
officium,n,officium,,,,,,sg,,acc,n
tuentem,v,tueo,imperf,praes,participle,active,,sg,,acc,m
iubemus,v,iubeo,imperf,praes,finite,active,ind,pl,1,,
in,adp,in,,,,,,,,,
balneum,n,balum,,,,,,sg,,acc,n
sequi,v,sequor,imperf,praes,infinitive,passive,,,,,
ceterum,adv,ceterum,,,,,,,,,
omnia,pron,omnis,,,,,,pl,,acc,n
stupeo,v,stupeo,imperf,praes,finite,active,ind,sg,2,,
paene,n,paes,,,,,,sg,,abl,m
resupinatus,v,resupino,perf,past,participle,passive,,sg,,nom,m
crura,n,crura,,,,,,pl,,acc,n
mea,adi,meus,,,,,,pl psor,psor,acc,n
fregi,v,frgogo,imperf,praes,finite,active,ind,sg,2,,
ad,adp,ad,,,,,,,,,
sinistram,adi,sinister,,,,,,sg,,acc,f
intrantibus,v,intro,imperf,praes,participle,active,,pl,,abl,m
longe,adv,longe,,,,,,,,,
ostiarii,n,ostiarius,,,,,,sg,,gen,m
cella,n,cella,,,,,,sg,,nom,f
canis,n,canis,,,,,,sg,,gen,m
ingens,adi,ingens,,,,,,sg,,nom,f
catena,n,catena,,,,,,sg,,abl,f
vinctus,v,vinctus,perf,past,participle,passive,,sg,,nom,m
in,adp,in,,,,,,,,,
pariete,n,paries,,,,,,sg,,abl,m
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
pictus,v,pingo,perf,past,participle,passive,,sg,,nom,m
superque,adv,super,,,,,,,,,
quadrata,v,quadro,perf,past,participle,passive,,sg,,nom,f
littera,n,littera,,,,,,sg,,abl,f
scriptum,v,scribo,perf,past,participle,passive,,sg,,acc,n
cave,v,cave,imperf,praes,finite,active,imperative,sg,2,,
canem,n,canis,,,,,,sg,,acc,m
collegae,n,collega,,,,,,sg,,gen,f
quidem,adv,quidem,,,,,,,,,
mei,adi,meus,,,,,,pl psor,psor,gen,m
riserunt,v,rideo,perf,past,finite,active,ind,pl,3,,
collecto,v,collicio,perf,past,participle,passive,,sg,,abl,m
spiritu,n,spiritus,,,,,,sg,,abl,m
destiti,v,desisto,perf,past,finite,active,ind,sg,1,,
totum,pron,totus,,,,,,sg,,acc,n
parientem,v,pario,imperf,praes,participle,active,,sg,,acc,m
persequi,v,persequor,imperf,praes,infinitive,passive,,,,,
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
venalicium,adi,venalicium,,,,,,pl,,gen,n
titulis,n,titulus,,,,,,pl,,abl,m
pictis,v,pingo,perf,past,participle,passive,,pl,,abl,n
ipse,pron,ipse,,,,,,sg,,nom,m
trimalchio,n,trimalchio,,,,,,sg,,abl,m
capillatus,v,capillo,perf,past,participle,passive,,sg,,nom,m
caduceum,n,caduceus,,,,,,sg,,acc,m
tenebat,v,teneo,imperf,past,finite,active,ind,sg,3,,
minervamque,n,minervamque,,,,,,sg,,acc,f
ducente,v,duco,imperf,praes,participle,active,,sg,,abl,m
romam,n,roma,,,,,,sg,,acc,f
intrabat,v,intro,imperf,past,finite,active,ind,sg,3,,
hinc,adv,hinc,,,,,,,,,
quemadmodum,adv,quemadmodum,,,,,,,,,
ratiocinari,v,ratiocinor,imperf,praes,infinitive,passive,,,,,
didicisset,v,disco,perf,pluperfect,finite,active,coni,sg,3,,
deinque,adv,deinque,,,,,,,,,
dispensator,n,dispensator,,,,,,sg,,nom,m
factus,v,facio,perf,past,participle,passive,,sg,,nom,m
esset,aux,sum,imperf,past,finite,active,coni,sg,3,,
omnia,pron,omnis,,,,,,pl,,acc,n
diligenter,adv,diligenter,,,,,,,,,
curiosus,adi,curiosus,,,,,,sg,,nom,m
pictor,n,pictor,,,,,,sg,,nom,m
inscriptione,n,inscriptio,,,,,,sg,,abl,f
reddiderat,v,reddo,perf,pluperfect,finite,active,ind,sg,3,,
in,adp,in,,,,,,,,,
deficiente,v,deficio,imperf,praes,participle,active,,sg,,abl,m
vero,adv,vero,,,,,,,,,
porticu,n,portimus,,,,,,sg,,abl,f
levatum,v,levatum,perf,past,participle,passive,,sg,,acc,m
mento,n,mentus,,,,,,sg,,abl,m
in,adp,in,,,,,,,,,
tribunal,n,tribunal,,,,,,sg,,acc,n
excelsum,n,excelsus,,,,,,sg,,acc,m
mercurius,n,mercurius,,,,,,sg,,nom,m
rapiebat,v,rapio,imperf,past,finite,active,ind,sg,3,,
praesto,adv,praesto,,,,,,,,,
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
fortuna,n,fortuna,,,,,,sg,,nom,f
cornu,n,cornus,,,,,,sg,,abl,m
abundanti,v,abundo,imperf,praes,participle,active,,sg,,abl,m
copiosa,adi,copiosus,,,,,,pl,,acc,f
tres,num,tres,,,,,,pl,,acc,f
parcae,adi,parcus,,,,,,pl,,acc,f
aurea,n,aurea,,,,,,pl,,acc,f
pensa,n,pensa,,,,,,pl,,acc,n
torquentes,v,torqueo,imperf,praes,participle,active,,pl,,acc,m
notavi,v,noto,perf,past,participle,passive,,pl,,nom,m
in,adp,in,,,,,,,,,
porticu,n,portimus,,,,,,sg,,abl,f
gregem,n,grex,,,,,,sg,,acc,m
cursorum,v,curdo,perf,past,participle,passive,,pl,,gen,m
magistro,n,magister,,,,,,sg,,abl,m
se,pron,se,,,,,,sg,,acc,m
exercentem,v,exerceo,imperf,praes,participle,active,,sg,,acc,m
praeterea,adv,praeterea,,,,,,,,,
grande,n,grandes,,,,,,sg,,acc,n
armarium,adi,armarius,,,,,,sg,,acc,n
in,adp,in,,,,,,,,,
angulo,n,angulus,,,,,,sg,,abl,m
vidi,v,vidi,perf,past,finite,active,ind,sg,1,,
in,adp,in,,,,,,,,,
cuius,pron,qui,,,,,,sg,,gen,m
aedicula,n,aediculus,,,,,,sg,,abl,f
erant,aux,sum,imperf,past,finite,active,ind,pl,3,,
lares,n,lar,,,,,,pl,,nom,m
argentei,n,argenteu,,,,,,pl,,nom,m
positi,v,pono,perf,past,participle,passive,,pl,,nom,m
venerisque,n,venerisque,,,,,,sg,,gen,m
signum,n,signum,,,,,,sg,,nom,n
marmoreum,adi,marmoreus,,,,,,sg,,nom,n
pyxis,n,pys,,,,,,sg,,gen,f
aurea,n,aurea,,,,,,sg,,acc,f
pusilla,adi,pusillus,,,,,,pl,,acc,n
in,adp,in,,,,,,,,,
qua,pron,qui,,,,,,sg,,abl,f
barbam,n,barba,,,,,,sg,,acc,f
ipsius,pron,ipse,,,,,,sg,,gen,m
conditam,v,condo,perf,past,participle,passive,,sg,,acc,f
esse,aux,sum,,praes,infinitive,active,,,,,
dicebant,v,dico,imperf,past,finite,active,ind,pl,3,,
interrogare,v,interrogo,imperf,praes,infinitive,active,,,,,
atriensem,adi,atriens,,,,,,sg,,acc,m
coepi,v,coepi,perf,past,finite,active,ind,sg,1,,
quas,pron,qui,,,,,,pl,,acc,f
in,adp,in,,,,,,,,,
medio,adi,medius,,,,,,sg,,abl,n
picturas,n,pictura,,,,,,pl,,acc,f
haberent,v,habeo,imperf,past,finite,active,coni,pl,3,,
iliada,n,iliada,,,,,,sg,,nom,m
odyssian,n,odyssian,,,,,,sg,,acc,f
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
laenatis,v,laeno,perf,past,participle,passive,,pl,,abl,m
gladiatorium,adi,gladiatorius,,,,,,sg,,acc,n
munus,n,munus,,,,,,sg,,acc,n
obligati,v,obligo,perf,past,participle,passive,,sg,,gen,n
grandi,adi,grandus,,,,,,sg,,abl,n
beneficio,n,beneficium,,,,,,sg,,abl,n
intrassemus,v,intro,perf,past,finite,active,coni,pl,1,,
triclinium,n,triclinium,,,,,,sg,,acc,n
occurrit,v,occurro,imperf,praes,finite,active,ind,sg,3,,
nobis,pron,nos,,,,,,pl,,dat,m
ille,pron,ille,,,,,,sg,,nom,m
servus,n,servus,,,,,,sg,,nom,m
rogaveramus,v,rogo,imperf,praes,finite,active,ind,pl,1,,
stupentibus,v,stupo,imperf,praes,participle,active,,pl,,dat,m
spississima,adi,spissus,,,,,,pl,,acc,n
basia,n,basia,,,,,,sg,,acc,f
impegit,v,impigio,imperf,praes,finite,active,ind,sg,3,,
gratias,n,gratia,,,,,,pl,,acc,f
agens,v,ago,imperf,praes,participle,active,,sg,,nom,m
humanitati,n,humanitas,,,,,,sg,,dat,f
nostrae,pron,noster,,,,,,sg psor,psor,dat,f
ad,adp,ad,,,,,,,,,
summam,adi,summus,,,,,,sg,,acc,f
statim,adv,statim,,,,,,,,,
scietis,v,scio,imperf,fut,finite,active,ind,pl,2,,
ait,v,aio,imperf,praes,finite,active,ind,sg,3,,
cui,pron,qui,,,,,,sg,,dat,m
dederitis,v,dedereo,perf,past,finite,active,ind,pl,2,,
beneficium,n,beneficium,,,,,,sg,,acc,n
vinum,n,vinum,,,,,,sg,,acc,n
dominicum,adi,dominicus,,,,,,sg,,acc,n
ministratoris,n,ministro,,,,,,sg,,gen,m
gratia,n,gratia,,,,,,sg,,nom,f
est,aux,sum,,praes,finite,active,ind,sg,3,,
tandem,adv,tandem,,,,,,,,,
discubuimus,v,discubbo,perf,past,finite,active,ind,pl,1,,
pueris,n,puer,,,,,,pl,,dat,m
alexandrinis,adi,alexanderinus,,,,,,pl,,dat,m
aquam,n,aqua,,,,,,sg,,acc,f
in,adp,in,,,,,,,,,
manus,n,manus,,,,,,pl,,acc,f
nivatam,v,nivatam,perf,past,participle,passive,,sg,,acc,f
infundentibus,v,infundo,imperf,praes,participle,active,,pl,,abl,m
aliisque,pron,aliusquis,,,,,,pl,,abl,m
insequentibus,v,insequor,imperf,praes,participle,active,,pl,,abl,m
ad,adp,ad,,,,,,,,,
pedes,n,pes,,,,,,pl,,acc,m
paronychia,n,paronychia,,,,,,sg,,abl,f
ingenti,adi,ingentus,,,,,,sg,,abl,m
subtilitate,n,subtilitas,,,,,,sg,,abl,f
tollentibus,v,tollo,imperf,praes,participle,active,,pl,,abl,m
in,adp,in,,,,,,,,,
hoc,pron,hic,,,,,,sg,,abl,n
quidem,adv,quidem,,,,,,,,,
molesto,adi,molestus,,,,,,sg,,abl,m
tacebant,v,taceo,imperf,past,finite,active,ind,pl,3,,
officio,n,officium,,,,,,sg,,abl,n
obiter,adv,obiter,,,,,,,,,
cantabant,v,canto,imperf,past,finite,active,ind,pl,3,,
experiri,v,experior,imperf,praes,infinitive,passive,,,,,
volui,v,volui,perf,past,finite,active,ind,sg,1,,
tota,adi,totus,,,,,,sg,,abl,f
familia,n,familia,,,,,,sg,,abl,f
cantaret,v,canto,imperf,past,finite,active,coni,sg,3,,
itaque,adv,itaque,,,,,,,,,
potionem,n,potio,,,,,,sg,,acc,f
poposci,v,poposci,perf,past,finite,active,ind,sg,2,,
paratissimus,adv,paratitter,,,,,,,,,
puer,n,puer,,,,,,sg,,nom,m
minus,adv,minus,,,,,,,,,
me,pron,ego,,,,,,sg,,acc,m
acido,n,acidus,,,,,,sg,,abl,m
cantico,n,canticus,,,,,,sg,,abl,m
excepit,v,excipio,perf,past,finite,active,ind,sg,3,,
quisquis,pron,quisquis,,,,,,sg,,nom,m
aliquid,pron,aliquis,,,,,,sg,,acc,n
rogatus,v,rogo,perf,past,participle,passive,,sg,,nom,m
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
daret,v,do,imperf,past,finite,active,coni,sg,3,,
pantomimi,n,pantomimus,,,,,,sg,,acc,m
chorum,n,chor,,,,,,sg,,acc,m
patris,n,pater,,,,,,sg,,gen,m
familiae,n,familia,,,,,,sg,,gen,f
triclinium,n,triclinium,,,,,,sg,,acc,n
crederes,v,credo,imperf,past,finite,active,coni,sg,1,,
allata,v,affero,perf,past,participle,passive,,sg,,nom,f
est,aux,sum,,praes,finite,active,ind,sg,3,,
gustatio,n,gustatio,,,,,,sg,,nom,f
valde,adv,valde,,,,,,,,,
lauta,adi,lautus,,,,,,sg,,acc,f
omnes,pron,omnis,,,,,,pl,,acc,m
discubuerant,v,discubo,perf,past,finite,active,ind,pl,3,,
praeter,adp,praeter,,,,,,,,,
ipsum,pron,ipse,,,,,,sg,,acc,m
trimachionem,n,trimachio,,,,,,sg,,acc,m
cui,pron,qui,,,,,,sg,,dat,m
locus,n,locus,,,,,,sg,,nom,m
novo,adi,novo,,,,,,sg,,abl,m
more,n,mos,,,,,,sg,,abl,m
primus,adi,primus,,,,,,sg,,nom,m
servabatur,v,servabatur,imperf,past,finite,passive,ind,sg,3,,
ceterum,adv,ceterum,,,,,,,,,
in,adp,in,,,,,,,,,
promulsidari,v,promulsido,imperf,praes,infinitive,passive,,,,,
asellus,n,asellus,,,,,,sg,,nom,m
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
corinthius,adi,corinth,,,,,,sg,,nom,m
bisaccio,n,bisaccio,,,,,,sg,,abl,m
positus,v,pono,perf,past,participle,passive,,sg,,nom,m
qui,pron,qui,,,,,,sg,,nom,m
habebat,v,habeo,imperf,past,finite,active,ind,sg,3,,
olivas,n,olivas,,,,,,pl,,acc,f
in,adp,in,,,,,,,,,
altera,adi,alter,,,,,,sg,,abl,f
parte,n,pars,,,,,,sg,,abl,f
albas,adi,albus,,,,,,pl,,acc,f
in,adp,in,,,,,,,,,
altera,adi,alter,,,,,,sg,,abl,f
nigras,adi,niger,,,,,,pl,,acc,f
tegebant,v,tego,imperf,past,finite,active,ind,pl,3,,
asellum,n,asellum,,,,,,sg,,acc,m
duae,num,duo,,,,,,pl,,nom,f
lances,n,lancis,,,,,,pl,,nom,f
in,adp,in,,,,,,,,,
quarum,pron,qui,,,,,,pl,,gen,f
marginibus,n,marnen,,,,,,pl,,abl,m
nomen,n,nomen,,,,,,sg,,nom,n
trimalchionis,n,trimalchio,,,,,,sg,,gen,m
inscriptum,v,inscribo,perf,past,participle,passive,,sg,,nom,n
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
argenti,n,argens,,,,,,sg,,gen,n
pondus,n,pondus,,,,,,sg,,acc,n
ponticuli,n,ponticulus,,,,,,sg,,gen,m
ferruminati,v,ferrumino,perf,past,participle,passive,,sg,,gen,m
sustinebant,v,sustineo,imperf,past,finite,active,ind,pl,3,,
glires,n,glis,,,,,,pl,,nom,f
melle,n,mellis,,,,,,sg,,abl,m
papavere,n,papavere,,,,,,sg,,abl,m
sparsos,v,spargo,perf,past,participle,passive,,pl,,acc,m
fuerunt,aux,sum,perf,past,finite,active,ind,pl,3,,
tomacula,n,tomaculum,,,,,,pl,,nom,n
supra,adp,supra,,,,,,,,,
craticulam,n,craticula,,,,,,sg,,acc,f
argenteam,n,argentea,,,,,,sg,,acc,f
ferventia,v,fero,imperf,praes,participle,active,,pl,,nom,n
posita,v,pono,perf,past,participle,passive,,pl,,nom,n
craticulam,n,craticula,,,,,,sg,,acc,f
syriaca,adi,syriacus,,,,,,pl,,nom,n
pruna,n,pruna,,,,,,pl,,nom,n
granis,n,granum,,,,,,pl,,abl,n
punici,adi,punicus,,,,,,sg,,gen,m
mali,n,malum,,,,,,sg,,gen,m
in,adp,in,,,,,,,,,
his,pron,hic,,,,,,pl,,abl,m
eramus,v,sum,imperf,past,finite,active,ind,pl,1,,
lautitiis,n,lautitia,,,,,,pl,,abl,f
trimalchio,n,trimalchio,,,,,,sg,,nom,m
ad,adp,ad,,,,,,,,,
symphoniam,n,symphoniam,,,,,,sg,,acc,f
allatus,v,adfareo,perf,past,participle,passive,,sg,,nom,m
est,aux,sum,,praes,finite,active,ind,sg,3,,
positusque,v,pono,perf,past,participle,passive,,sg,,nom,m
cervicalia,adi,cervicalia,,,,,,pl,,acc,n
minutissima,adi,minutus,,,,,,pl,,acc,n
expressit,v,exprimo,perf,past,finite,active,ind,sg,3,,
imprudentibus,v,imprudo,imperf,praes,participle,active,,pl,,dat,m
risum,n,risus,,,,,,sg,,acc,m
pallio,n,pallius,,,,,,sg,,abl,f
coccineo,adi,coccineus,,,,,,sg,,abl,m
adrasum,n,adras,,,,,,sg,,acc,m
excluserat,v,excludo,perf,pluperfect,finite,active,ind,sg,3,,
caput,n,caput,,,,,,sg,,acc,n
circaque,adv,circaque,,,,,,,,,
oneratas,v,onero,perf,past,participle,passive,,pl,,acc,f
veste,n,veste,,,,,,sg,,abl,f
cervices,adi,cervices,,,,,,pl,,acc,m
laticlaviam,n,laticlaviam,,,,,,sg,,acc,f
immiserat,v,immitto,perf,pluperfect,finite,active,ind,sg,3,,
mappam,n,mappa,,,,,,sg,,acc,f
fimbriis,n,fimbria,,,,,,pl,,dat,f
hinc,adv,hinc,,,,,,,,,
illinc,adv,illinc,,,,,,,,,
pendentibus,v,pendeo,imperf,praes,participle,active,,pl,,abl,m
habebat,v,habeo,imperf,past,finite,active,ind,sg,3,,
in,adp,in,,,,,,,,,
minimo,adi,paruus,,,,,,sg,,abl,m
digito,n,digitum,,,,,,sg,,abl,m
sinistrae,adi,sinister,,,,,,sg,,gen,f
manus,n,manus,,,,,,sg,,gen,f
anulum,n,anulus,,,,,,sg,,acc,m
grandem,adi,grans,,,,,,sg,,acc,f
subauratum,v,subauro,perf,past,participle,passive,,sg,,acc,m
extremo,adi,exterior,,,,,,sg,,abl,m
vero,adv,vero,,,,,,,,,
articulo,n,articulus,,,,,,sg,,abl,m
digiti,n,digitum,,,,,,sg,,gen,m
sequentis,v,sequor,imperf,praes,participle,passive,,sg,,gen,m
minorem,adi,paruus,,,,,,sg,,acc,f
mihi,pron,ego,,,,,,sg,,dat,m
videbatur,v,video,imperf,past,finite,passive,ind,sg,3,,
totum,adi,totus,,,,,,sg,,nom,n
aureum,n,aures,,,,,,sg,,acc,f
plane,adv,plane,,,,,,,,,
ferreis,adi,ferreus,,,,,,pl,,abl,f
veluti,v,veluti,perf,past,participle,passive,,pl,,dat,f
stellis,n,stella,,,,,,pl,,dat,f
ferruminatum,v,ferrumino,perf,past,participle,passive,,sg,,acc,n
has,pron,hic,,,,,,pl,,acc,f
tantum,adv,tantum,,,,,,,,,
ostenderet,v,ostendo,imperf,past,finite,active,coni,sg,3,,
divitias,n,divitias,,,,,,pl,,acc,f
dextrum,adi,dexter,,,,,,sg,,acc,n
nudavit,v,nudo,perf,past,finite,active,ind,sg,3,,
lacertum,v,lacero,perf,past,participle,passive,,sg,,acc,n
armilla,n,armilla,,,,,,sg,,nom,f
aurea,n,aurea,,,,,,sg,,nom,f
cultum,n,cultus,,,,,,sg,,acc,m
eboreo,adi,eboreus,,,,,,sg,,abl,m
circulo,n,circulus,,,,,,sg,,abl,m
lamina,n,lamina,,,,,,sg,,abl,f
splendente,v,splendeo,imperf,praes,participle,active,,sg,,abl,m
conexo,unknown_by_cltk,conex,,,,,,,,,
laudationem,n,laudatio,,,,,,sg,,acc,f
ferculum,adi,ferculus,,,,,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
insecutum,v,insequor,perf,past,participle,passive,,sg,,nom,n
plane,adp,plane,,,,,,,,,
expectatione,n,expectatio,,,,,,sg,,abl,f
magnum,adi,magnus,,,,,,sg,,acc,n
novitas,n,novitas,,,,,,sg,,nom,f
omnium,pron,omnis,,,,,,pl,,gen,n
convertit,v,convertit,imperf,praes,finite,active,ind,sg,3,,
oculos,n,oculus,,,,,,pl,,acc,m
rotundum,adi,rotundus,,,,,,sg,,acc,n
repositorium,adi,repositorius,,,,,,sg,,acc,n
duodecim,num,duodecim,,,,,,,,,
habebat,v,habeo,imperf,past,finite,active,ind,sg,3,,
signa,n,signum,,,,,,pl,,acc,n
in,adp,in,,,,,,,,,
orbe,n,orbe,,,,,,sg,,abl,m
disposita,v,dispono,perf,past,participle,passive,,pl,,acc,n
quae,pron,qui,,,,,,pl,,acc,n
proprium,adi,proprius,,,,,,sg,,acc,n
convenientemque,v,convenio,imperf,praes,participle,active,,sg,,acc,f
materiae,n,materia,,,,,,sg,,gen,f
structor,n,structor,,,,,,sg,,nom,m
imposuerat,v,impono,perf,pluperfect,finite,active,ind,sg,3,,
cibum,n,cibus,,,,,,sg,,acc,m
arietem,n,aries,,,,,,sg,,acc,m
cicer,n,cicer,,,,,,sg,,acc,m
arietinum,n,arietinus,,,,,,sg,,acc,m
taurum,n,taus,,,,,,sg,,acc,m
bubulae,n,bubula,,,,,,sg,,gen,f
frustum,n,frustus,,,,,,sg,,acc,m
geminos,n,geminus,,,,,,pl,,acc,m
testiculos,n,testiculus,,,,,,pl,,acc,m
rienes,v,rio,imperf,praes,participle,active,,pl,,nom,m
cancrum,n,cancer,,,,,,sg,,acc,m
coronam,n,corona,,,,,,sg,,acc,f
leonem,n,leo,,,,,,sg,,acc,m
ficum,n,ficius,,,,,,sg,,acc,m
africanam,adi,africanus,,,,,,sg,,acc,f
virginem,n,virginem,,,,,,sg,,acc,f
steriliculam,adi,steriliculus,,,,,,sg,,acc,f
libram,n,liber,,,,,,sg,,acc,f
stateram,n,stater,,,,,,sg,,acc,f
in,adp,in,,,,,,,,,
cuius,pron,qui,,,,,,sg,,gen,m
altera,adi,alter,,,,,,sg,,abl,f
parte,n,pars,,,,,,sg,,abl,f
scriblita,adi,scriblitus,,,,,,sg,,nom,f
erat,v,sum,imperf,past,finite,active,ind,sg,3,,
in,adp,in,,,,,,,,,
altera,adi,alter,,,,,,sg,,abl,f
placenta,n,placentum,,,,,,sg,,abl,f
scorpionem,n,scorpio,,,,,,sg,,acc,f
pisciculum,adi,pisciculus,,,,,,sg,,acc,m
marinum,n,marenus,,,,,,sg,,acc,m
sagittarium,adi,sagittarius,,,,,,sg,,acc,m
oclopetam,v,oclopeo,perf,past,participle,passive,,sg,,acc,f
capricornum,adi,capricornus,,,,,,sg,,acc,m
locustam,n,locusta,,,,,,sg,,acc,m
marinam,adi,marinus,,,,,,sg,,acc,f
